Model,CV Accuracy,Test Accuracy,Precision,Recall,F1-Score,ROC-AUC
Stacking Ensemble,0.9066775476289394,0.9325068870523416,0.9010238907849829,0.9295774647887324,0.9150779896013865,0.9771365751067491
Soft Voting Ensemble,0.9056436583773518,0.9352617079889807,0.9247311827956989,0.9084507042253521,0.91651865008881,0.9767302912497611
Logistic Regression,0.9022019110926465,0.9380165289256198,0.9134948096885813,0.9295774647887324,0.9214659685863874,0.9745156459116691
Support Vector Machine,0.8977244940352543,0.9352617079889807,0.9340659340659341,0.897887323943662,0.9156193895870736,0.9730856860620738
Random Forest,0.898066947593329,0.9256198347107438,0.9259259259259259,0.8802816901408451,0.9025270758122743,0.9718907335415207
